id_pdc_itinerance,etat_pdc,occupation_pdc,horodatage,etat_prise_type_2,etat_prise_type_combo_ccs,etat_prise_type_chademo,etat_prise_type_ef
FRALLEGO0021151,en_service,libre,2025-06-06T15:09:49Z,,,,
FRALLEGO0021152,en_service,libre,2025-06-06T16:26:44Z,,,,
FRALLEGO0021162,en_service,libre,2025-06-05T20:10:42Z,,,,
FRALLEGO0021161,en_service,libre,2025-06-06T13:22:53Z,,,,
FRALLEGO8001401,en_service,libre,2025-06-06T16:25:47Z,,,,
FRALLEGO8001402,en_service,libre,2025-06-06T13:39:23Z,,,,
FRALLEGO0020772,en_service,libre,2025-06-05T19:05:06Z,,,,
FRALLEGO0020771,en_service,libre,2025-06-05T19:05:06Z,,,,
FRALLEGO0020901,en_service,libre,2025-06-05T19:05:06Z,,,,
FRALLEGO0020902,en_service,libre,2025-06-05T19:05:06Z,,,,
FRALLEGO0021191,en_service,libre,2025-06-06T15:41:53Z,,,,
FRALLEGO0021192,en_service,libre,2025-06-06T16:29:53Z,,,,
FRALLEGO8001462,en_service,libre,2025-06-06T16:15:22Z,,,,
FRALLEGO8001461,en_service,libre,2025-06-06T15:41:37Z,,,,
FRALLEGO0001011,en_service,libre,2025-04-01T20:42:36Z,,,,
FRALLEGO0001051,inconnu,inconnu,2025-04-01T20:42:36Z,,,,
FRALLEGO8000041,en_service,libre,2025-06-05T19:05:06Z,,,,
FRALLEGO8000042,en_service,libre,2025-06-05T19:05:06Z,,,,
FRALLEGO8000011,en_service,libre,2025-06-06T16:45:01Z,,,,
FRALLEGO8000012,en_service,occupe,2025-06-06T16:27:55Z,,,,
FRALLEGO8000021,en_service,occupe,2025-06-06T16:15:40Z,,,,
FRALLEGO8000022,en_service,occupe,2025-06-06T16:37:39Z,,,,
FRALLEGO8000031,en_service,occupe,2025-06-06T16:27:59Z,,,,
FRALLEGO8000032,en_service,libre,2025-06-06T16:24:47Z,,,,
FRALLEGO8001871,en_service,libre,2025-06-05T19:05:06Z,,,,
FRALLEGO8003361,en_service,libre,2025-06-06T16:21:56Z,,,,
FRALLEGO8003342,en_service,libre,2025-06-05T19:05:06Z,,,,
